country,iso3,P_NP,<12,12-24m,>24,unknown,total
"Congo, Republic of",COG,NP,14347,,,,14347
"Congo, Republic of",COG,PW,261,54,53,,368
Cook Islands,COK,NP,3,,,,3
Cook Islands,COK,PW,259,11,12,,282
Costa Rica,CRI,NP,6,,,,6
Costa Rica,CRI,PW,1675,216,15,,1906
Côte d'Ivoire,CIV,NP,9612,,,,9612
Côte d'Ivoire,CIV,PW,200,1577,42,,1819
Croatia,HRV,PW,7023,482,122,,7627
Cuba,CUB,NP,1404,,,,1404
Cuba,CUB,PW,470,462,10,,942
Curacao,CUW,PW,,,5,,5
Cyprus,CYP,PW,803,31,7,,841
Denmark,DNK,PW,1898,298,69,,2265
Djibouti,DJI,NP,20,,,,20
Djibouti,DJI,PW,180,20,,,200
Dominica,DMA,NP,17,,,,17
Dominica,DMA,PW,416,1,,,417
Dominican Republic,DOM,NP,345,,,,345
Dominican Republic,DOM,PW,1967,13,,,1980
Ecuador,ECU,PW,19727,355,178,,20260
Egypt,EGY,NP,25923,,,,25923
Egypt,EGY,PW,,,,4919,4919
El Salvador,SLV,NP,7092,26,,,7118
El Salvador,SLV,PW,6513,129,4,,6646
Equatorial Guinea,GNQ,NP,700,,,,700
Equatorial Guinea,GNQ,PW,400,,,,400
Eritrea,ERI,PW,127,55,31,,213
Estonia,EST,PW,1510,22,25,,1557
Falkland Is.(Malvinas),FLK,PW,,,16,,16
Faroe Islands,FRO,PW,,50,106,,156
"Fiji, Republic of",FJI,NP,200,,,,200
"Fiji, Republic of",FJI,PW,2550,22,36,,2608
Finland,FIN,PW,3027,45,21,,3093
France,FRA,PW,3614,661,181,,4456
French Guiana,GUF,PW,,19,,,19
French Polynesia,PYF,PW,3924,52,6,,3982
Gabon,GAB,NP,,,,431,431
Gabon,GAB,PW,,18,44,1053,1115
Gambia,GMB,NP,1048,34,,,1082
Gambia,GMB,PW,458,172,18,,648
Georgia,GEO,PW,9,13,4,,26
Germany,DEU,PW,1124,237,53,,1414
Ghana,GHA,NP,,,,16092,16092
Ghana,GHA,PW,1276,10513,156,,11945
Greece,GRC,PW,14304,694,178,,15176
Greenland,GRL,PW,1679,123,49,,1851
Grenada,GRD,NP,82,,,,82
Grenada,GRD,PW,649,73,,,722
Guadeloupe,GLP,PW,988,,,,988
Guam,GUM,PW,,141,26,,167
Guatemala,GTM,NP,,,,2000,2000
Guatemala,GTM,PW,50,35,2,4500,4587
Guernsey,GGY,PW,143,2,,,145
Guinea,GIN,NP,,,,4700,4700
Guinea,GIN,PW,,,3,1325,1328
Guinea-Bissau,GNB,NP,1270,,,,1270
Guinea-Bissau,GNB,PW,750,,1,,751
Guyana,GUY,NP,134,,,,134
Guyana,GUY,PW,808,556,,,1364
Honduras,HND,NP,6811,,,,6811
Honduras,HND,PW,10682,160,47,,10889
Iceland,ISL,PW,1301,154,147,,1602
India,IND,NP,,,,50567,50567
India,IND,PW,,,,143020,143020
Indonesia,IDN,NP,,,,165050,165050
Indonesia,IDN,PW,,,2004,458654,460658
Iran (Islamic Rep. of),IRN,PW,8760,3470,45,,12275
Iraq,IRQ,PW,60,213,49,6500,6822
Ireland,IRL,PW,1830,180,107,,2117
Israel,ISR,PW,374,36,,,410
Italy,ITA,PW,8651,3260,349,,12260
Jamaica,JAM,PW,6929,171,,,7100
Japan,JPN,NP,,,,4001,4001
Japan,JPN,PW,,,654,230764,231418
Jordan,JOR,PW,222,,,,222
Kazakhstan,KAZ,NP,875,55,,,930
Kazakhstan,KAZ,PW,997,58,6,,1061
Kenya,KEN,NP,17014,348,,,17362
Kenya,KEN,PW,2254,244,8,,2506
Kiribati,KIR,NP,1218,,,,1218
Kiribati,KIR,PW,1218,,,,1218
"Korea, Republic of",KOR,NP,888,14,,,902
"Korea, Republic of",KOR,PW,57361,7314,1393,,66068
Kuwait,KWT,PW,534,262,8,,804
Latvia,LVA,PW,610,14,55,,679
Lebanon,LBN,NP,81,,,,81
Lebanon,LBN,PW,1834,47,,,1881
Liberia,LBR,NP,934,,,,934
Liberia,LBR,PW,345,28,17,,390
Libya,LBY,NP,70,,,,70
Libya,LBY,PW,2819,1488,157,,4464
Lithuania,LTU,PW,100,5,37,,142
Madagascar,MDG,NP,28820,,,,28820
Madagascar,MDG,PW,6,56,165,,227
Malawi,MWI,NP,14983,,,,14983
Malawi,MWI,PW,1547,11,,,1558
Malaysia,MYS,NP,2867,,,,2867
Malaysia,MYS,PW,44089,5462,1033,,50584
Maldives,MDV,NP,617,,,,617
Maldives,MDV,PW,1101,1329,,,2430
Mali,MLI,NP,50597,,,,50597
Mali,MLI,PW,2662,,,,2662
Malta,MLT,PW,855,55,9,,919
Martinique,MTQ,PW,987,5,,,992
Mauritania,MRT,PW,,,,3816,3816
Mauritius,MUS,NP,130,,,,130
Mauritius,MUS,PW,1556,36,9,,1601
Mayotte,MYT,PW,145,,5,,150
Mexico,MEX,PW,74029,1696,271,,75996
